"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-10","2021","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-11","2021","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-12","2021","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-13","2021","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-14","2021","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-15","2021","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-16","2021","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-17","2021","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-18","2021","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-19","2021","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-20","2021","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-21","2021","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-22","2021","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-23","2021","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-24","2021","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-25","2021","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-26","2021","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-27","2021","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-28","2021","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-29","2021","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-30","2021","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-05-31","2021","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-01","2021","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-02","2021","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-03","2021","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-04","2021","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-05","2021","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-06","2021","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-07","2021","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-08","2021","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-09","2021","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-10","2021","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-11","2021","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-12","2021","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-13","2021","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-14","2021","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-15","2021","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-16","2021","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-17","2021","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-18","2021","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-19","2021","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-20","2021","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-21","2021","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-22","2021","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-23","2021","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2021-06-24","2021","06","24","","","","","","","","","","","","","","","","","","","","","","",""
