Climate_id,Daily_high_temperature,Daily_low_temperature,Daily_mean_tempera,Total_precip,Total_rain,Total_snow,Direction_max_gust,Speed_max_gust,Cooling_degree_days,Heating_degree_days
6158731,9.0,1.0,5.0,0.0,0.0,0.0,26.0,45.0,0.0,13.0
6158731,9.0,3.0,6.0,8.0,8.0,0.0,25.0,46.0,0.0,12.0
6158731,5.0,-1.0,2.0,0.0,0.0,0.0,29.0,54.0,0.0,16.0
6158731,2.0,-2.0,-0.0,0.0,0.0,0.0,27.0,59.0,0.0,18.0
6158731,-2.0,-8.0,-5.0,0.0,0.0,0.0,30.0,37.0,0.0,23.0
6158731,-6.0,-9.0,-7.0,1.0,0.0,1.0,6.0,52.0,0.0,25.0
6158731,-3.0,-8.0,-5.0,1.0,0.0,1.0,10.0,51.0,0.0,23.0
6158731,-1.0,-10.0,-6.0,0.0,0.0,0.0,15.0,50.0,0.0,24.0
6158731,2.0,-2.0,0.0,2.0,0.0,2.0,20.0,49.0,0.0,18.0
6158731,5.0,-0.0,2.0,1.0,1.0,0.0,24.0,48.0,0.0,16.0
6158731,4.0,-1.0,2.0,0.0,0.0,0.0,28.0,54.0,0.0,16.0
6158731,3.0,-1.0,1.0,0.0,0.0,0.0,32.0,61.0,0.0,17.0
6158731,6.0,0.0,3.0,2.0,2.0,0.0,15.0,39.0,0.0,15.0
6158731,10.0,-3.0,3.0,12.0,7.0,4.0,23.0,50.0,0.0,15.0
6158731,-0.0,-5.0,-3.0,8.0,0.0,9.0,26.0,58.0,0.0,21.0
6158731,-2.0,-6.0,-4.0,2.0,0.0,2.0,24.0,54.0,0.0,22.0
6158731,2.0,-4.0,-1.0,1.0,1.0,0.0,12.0,41.0,0.0,19.0
6158731,4.0,-4.0,0.0,5.0,5.0,0.0,28.0,67.0,0.0,18.0
6158731,-1.0,-6.0,-3.0,0.0,0.0,0.0,29.0,37.0,0.0,21.0
6158731,5.0,-4.0,1.0,3.0,2.0,2.0,29.0,59.0,0.0,17.0
6158731,2.0,-3.0,-1.0,0.0,0.0,0.0,29.0,54.0,0.0,19.0
6158731,2.0,-4.0,-1.0,8.0,5.0,3.0,11.0,46.0,0.0,19.0
6158731,1.0,-2.0,-1.0,7.0,4.0,4.0,33.0,42.0,0.0,19.0
6158731,1.0,-1.0,0.0,2.0,0.0,1.0,34.0,43.0,0.0,18.0
6158731,1.0,-1.0,0.0,0.0,0.0,0.0,34.0,44.0,0.0,18.0
6158731,1.0,-0.0,0.0,0.0,0.0,0.0,34.0,45.0,0.0,18.0
6158731,2.0,-1.0,0.0,0.0,0.0,0.0,35.0,46.0,0.0,18.0
6158731,-1.0,-7.0,-4.0,0.0,0.0,0.0,35.0,39.0,0.0,22.0
6158731,-4.0,-9.0,-6.0,0.0,0.0,0.0,36.0,35.0,0.0,24.0
6158731,3.0,-4.0,-0.0,0.0,0.0,0.0,36.0,33.0,0.0,18.0
6158731,2.0,-6.0,-2.0,0.0,0.0,0.0,32.0,37.0,0.0,20.0
6158731,0.0,-6.0,-3.0,0.0,0.0,0.0,27.0,41.0,0.0,21.0
6158731,-1.0,-2.0,-2.0,0.0,0.0,0.0,25.0,32.0,0.0,20.0
6158731,3.0,-1.0,1.0,0.0,0.0,0.0,24.0,39.0,0.0,17.0
6158731,5.0,-1.0,2.0,0.0,0.0,0.0,11.0,33.0,0.0,16.0
6158731,6.0,1.0,3.0,5.0,5.0,0.0,11.0,48.0,0.0,15.0
6158731,5.0,-3.0,1.0,0.0,0.0,0.0,28.0,48.0,0.0,17.0
6158731,4.0,-3.0,1.0,1.0,0.0,1.0,29.0,48.0,0.0,17.0
6158731,1.0,-5.0,-2.0,0.0,0.0,0.0,22.0,45.0,0.0,20.0
6158731,-1.0,-6.0,-3.0,1.0,0.0,1.0,26.0,58.0,0.0,21.0
6158731,-2.0,-8.0,-5.0,0.0,0.0,0.0,32.0,45.0,0.0,23.0
6158731,3.0,-2.0,1.0,0.0,0.0,0.0,26.0,46.0,0.0,17.0
6158731,1.0,-8.0,-3.0,0.0,0.0,0.0,29.0,58.0,0.0,21.0
6158731,-5.0,-13.0,-9.0,0.0,0.0,0.0,30.0,48.0,0.0,27.0
6158731,-3.0,-7.0,-5.0,0.0,0.0,0.0,22.0,49.0,0.0,23.0
6158731,2.0,-4.0,-1.0,0.0,0.0,0.0,14.0,49.0,0.0,19.0
6158731,-0.0,-5.0,-3.0,7.0,0.0,9.0,6.0,50.0,0.0,21.0
6158731,-3.0,-10.0,-7.0,0.0,0.0,0.0,33.0,35.0,0.0,25.0
6158731,-8.0,-14.0,-11.0,0.0,0.0,0.0,31.0,58.0,0.0,29.0
6158731,-7.0,-15.0,-11.0,0.0,0.0,0.0,36.0,41.0,0.0,29.0
6158731,-2.0,-14.0,-8.0,0.0,0.0,0.0,22.0,44.0,0.0,26.0
6158731,-5.0,-11.0,-8.0,0.0,0.0,0.0,8.0,46.0,0.0,26.0
6158731,-4.0,-11.0,-8.0,0.0,0.0,0.0,2.0,33.0,0.0,26.0
6158731,-1.0,-10.0,-5.0,0.0,0.0,0.0,33.0,67.0,0.0,23.0
6158731,1.0,-6.0,-3.0,0.0,0.0,0.0,35.0,61.0,0.0,21.0
6158731,4.0,-7.0,-2.0,1.0,0.0,1.0,11.0,42.0,0.0,20.0
6158731,2.0,-8.0,-3.0,5.0,3.0,2.0,22.0,65.0,0.0,21.0
6158731,-6.0,-9.0,-8.0,0.0,0.0,0.0,23.0,61.0,0.0,26.0
6158731,-6.0,-13.0,-10.0,1.0,0.0,1.0,27.0,46.0,0.0,28.0
6158731,-6.0,-13.0,-10.0,0.0,0.0,0.0,29.0,43.0,0.0,28.0
6158731,-3.0,-11.0,-7.0,1.0,0.0,1.0,31.0,40.0,0.0,25.0
6158731,-5.0,-13.0,-9.0,0.0,0.0,0.0,33.0,38.0,0.0,27.0
6158731,-5.0,-11.0,-8.0,0.0,0.0,0.0,35.0,35.0,0.0,26.0
6158731,-8.0,-14.0,-11.0,2.0,0.0,2.0,26.0,38.0,0.0,29.0
6158731,-9.0,-14.0,-12.0,2.0,0.0,5.0,18.0,40.0,0.0,30.0
6158731,-4.0,-15.0,-9.0,0.0,0.0,0.0,10.0,43.0,0.0,27.0
6158731,-4.0,-10.0,-7.0,3.0,0.0,3.0,1.0,46.0,0.0,25.0
6158731,-7.0,-15.0,-11.0,9.0,0.0,9.0,36.0,54.0,0.0,29.0
6158731,-6.0,-13.0,-9.0,8.0,0.0,8.0,35.0,53.0,0.0,27.0
6158731,-4.0,-10.0,-7.0,8.0,0.0,8.0,34.0,52.0,0.0,25.0
6158731,-2.0,-7.0,-5.0,8.0,0.0,8.0,33.0,51.0,0.0,23.0
6158731,-2.0,-11.0,-7.0,0.0,0.0,0.0,32.0,50.0,0.0,25.0
6158731,-2.0,-12.0,-7.0,0.0,0.0,0.0,29.0,54.0,0.0,25.0
6158731,3.0,-2.0,1.0,5.0,1.0,5.0,26.0,59.0,0.0,17.0
6158731,4.0,-1.0,2.0,0.0,0.0,0.0,27.0,50.0,0.0,16.0
6158731,8.0,-1.0,4.0,0.0,0.0,0.0,26.0,67.0,0.0,14.0
6158731,1.0,-4.0,-1.0,0.0,0.0,0.0,30.0,54.0,0.0,19.0
6158731,4.0,-7.0,-2.0,0.0,0.0,0.0,28.0,53.0,0.0,20.0
6158731,6.0,-1.0,3.0,6.0,6.0,0.0,27.0,52.0,0.0,15.0
6158731,6.0,-2.0,2.0,1.0,1.0,0.0,30.0,46.0,0.0,16.0
