Metro_area,Subregion,Province,Retail_and_recreation,Grocery_and_pharmacy,Parks,Transit_stations,Workplaces,Residential
,Ottawa,Ontario,-24.0,-9.0,195.0,-48.0,-1.0,3.0
,Ottawa,Ontario,-26.0,-6.0,84.0,-63.0,-61.0,19.0
,Ottawa,Ontario,-28.0,-7.0,83.0,-63.0,-60.0,20.0
,Ottawa,Ontario,-29.0,-6.0,76.0,-61.0,-60.0,20.0
,Ottawa,Ontario,-27.0,-5.0,81.0,-62.0,-60.0,20.0
,Ottawa,Ontario,-34.0,-8.0,81.0,-59.0,-57.0,19.0
,Ottawa,Ontario,-30.0,-8.0,130.0,-44.0,-2.0,3.0
,Ottawa,Ontario,-23.0,-8.0,150.0,-52.0,5.0,0.0
,Ottawa,Ontario,-30.0,-14.0,30.0,-65.0,-62.0,20.0
,Ottawa,Ontario,-30.0,-10.0,34.0,-64.0,-61.0,21.0
,Ottawa,Ontario,-23.0,-2.0,50.0,-60.0,-59.0,20.0
,Ottawa,Ontario,-25.0,-6.0,72.0,-61.0,-59.0,20.0
,Ottawa,Ontario,-33.0,-10.0,85.0,-58.0,-56.0,18.0
,Ottawa,Ontario,-31.0,-14.0,67.0,-47.0,-8.0,6.0
,Ottawa,Ontario,-24.0,-9.0,131.0,-48.0,4.0,2.0
,Ottawa,Ontario,-21.0,1.0,62.0,-61.0,-59.0,18.0
,Ottawa,Ontario,-11.0,28.0,71.0,-59.0,-58.0,16.0
,Ottawa,Ontario,-60.0,-57.0,194.0,-68.0,-79.0,19.0
,Ottawa,Ontario,-26.0,-1.0,22.0,-62.0,-62.0,19.0
,Ottawa,Ontario,-31.0,-4.0,84.0,-57.0,-58.0,17.0
,Ottawa,Ontario,-29.0,-10.0,157.0,-39.0,-3.0,3.0
,Ottawa,Ontario,-22.0,-5.0,177.0,-42.0,1.0,0.0
,Ottawa,Ontario,-22.0,-1.0,87.0,-59.0,-60.0,17.0
,Ottawa,Ontario,-26.0,-6.0,62.0,-60.0,-60.0,19.0
,Ottawa,Ontario,-25.0,-3.0,56.0,-59.0,-58.0,19.0
,Ottawa,Ontario,-25.0,-2.0,48.0,-60.0,-58.0,19.0
,Ottawa,Ontario,-32.0,-8.0,57.0,-59.0,-56.0,18.0
,Ottawa,Ontario,-29.0,-9.0,36.0,-44.0,-7.0,6.0
,Ottawa,Ontario,-21.0,-3.0,150.0,-44.0,1.0,2.0
,Ottawa,Ontario,-23.0,-4.0,75.0,-58.0,-59.0,17.0
,Ottawa,Ontario,-24.0,-5.0,78.0,-59.0,-59.0,18.0
,Ottawa,Ontario,-23.0,-4.0,78.0,-58.0,-57.0,17.0
,Ottawa,Ontario,-23.0,-1.0,43.0,-60.0,-58.0,19.0
,Ottawa,Ontario,-28.0,-5.0,92.0,-55.0,-55.0,16.0
,Ottawa,Ontario,-26.0,-8.0,164.0,-38.0,0.0,2.0
,Ottawa,Ontario,-22.0,-7.0,104.0,-46.0,-1.0,1.0
,Ottawa,Ontario,-20.0,-1.0,81.0,-59.0,-58.0,17.0
,Ottawa,Ontario,-22.0,-4.0,92.0,-59.0,-57.0,17.0
,Ottawa,Ontario,-25.0,-5.0,20.0,-61.0,-57.0,19.0
,Ottawa,Ontario,-20.0,-1.0,80.0,-58.0,-57.0,18.0
,Ottawa,Ontario,-28.0,-5.0,103.0,-56.0,-54.0,16.0
,Ottawa,Ontario,-25.0,-9.0,176.0,-39.0,-1.0,2.0
,Ottawa,Ontario,-19.0,-5.0,153.0,-44.0,1.0,0.0
,Ottawa,Ontario,-22.0,-3.0,39.0,-62.0,-60.0,18.0
,Ottawa,Ontario,-22.0,-2.0,88.0,-60.0,-58.0,17.0
,Ottawa,Ontario,-23.0,-4.0,30.0,-59.0,-58.0,18.0
,Ottawa,Ontario,-19.0,2.0,54.0,-57.0,-58.0,17.0
,Ottawa,Ontario,-25.0,0.0,107.0,-51.0,-56.0,14.0
,Ottawa,Ontario,-26.0,-9.0,181.0,-32.0,-2.0,0.0
,Ottawa,Ontario,-25.0,-11.0,2.0,-46.0,-7.0,3.0
,Ottawa,Ontario,-35.0,-24.0,137.0,-67.0,-77.0,17.0
,Ottawa,Ontario,-27.0,-8.0,-21.0,-62.0,-61.0,19.0
,Ottawa,Ontario,-20.0,1.0,59.0,-60.0,-58.0,17.0
,Ottawa,Ontario,-16.0,0.0,107.0,-59.0,-57.0,16.0
,Ottawa,Ontario,-26.0,-7.0,100.0,-57.0,-55.0,15.0
,Ottawa,Ontario,-23.0,-10.0,186.0,-38.0,0.0,1.0
,Ottawa,Ontario,-20.0,-6.0,83.0,-47.0,-1.0,1.0
,Ottawa,Ontario,-20.0,-6.0,55.0,-63.0,-59.0,17.0
,Ottawa,Ontario,-24.0,-8.0,33.0,-62.0,-58.0,18.0
,Ottawa,Ontario,-19.0,-3.0,89.0,-58.0,-57.0,16.0
,Ottawa,Ontario,-18.0,-3.0,91.0,-59.0,-57.0,16.0
,Ottawa,Ontario,-26.0,-6.0,104.0,-56.0,-55.0,15.0
,Ottawa,Ontario,-22.0,-9.0,212.0,-36.0,-1.0,0.0
,Ottawa,Ontario,-20.0,-10.0,94.0,-46.0,-1.0,0.0
,Ottawa,Ontario,-20.0,-7.0,40.0,-61.0,-60.0,17.0
,Ottawa,Ontario,-20.0,-6.0,63.0,-60.0,-57.0,17.0
,Ottawa,Ontario,-19.0,-4.0,76.0,-57.0,-56.0,16.0
,Ottawa,Ontario,-18.0,-2.0,38.0,-61.0,-57.0,16.0
,Ottawa,Ontario,-26.0,-6.0,72.0,-58.0,-54.0,15.0
,Ottawa,Ontario,-21.0,-9.0,,-36.0,0.0,0.0
,Ottawa,Ontario,-16.0,-3.0,,-44.0,2.0,0.0
,Ottawa,Ontario,-20.0,-5.0,49.0,-63.0,-59.0,16.0
,Ottawa,Ontario,-20.0,-5.0,59.0,-61.0,-57.0,16.0
,Ottawa,Ontario,-19.0,-3.0,69.0,-59.0,-56.0,15.0
,Ottawa,Ontario,-18.0,-4.0,18.0,-61.0,-57.0,17.0
,Ottawa,Ontario,-24.0,-7.0,91.0,-56.0,-53.0,14.0
,Ottawa,Ontario,-23.0,-8.0,15.0,-47.0,-8.0,5.0
,Ottawa,Ontario,-9.0,2.0,,-40.0,4.0,-1.0
,Ottawa,Ontario,-14.0,-2.0,91.0,-59.0,-58.0,14.0
,Ottawa,Ontario,-18.0,-4.0,47.0,-59.0,-57.0,16.0
,Ottawa,Ontario,-22.0,-6.0,8.0,-62.0,-57.0,17.0
,Ottawa,Ontario,-13.0,2.0,77.0,-56.0,-56.0,15.0
,Ottawa,Ontario,-22.0,-5.0,61.0,-54.0,-53.0,14.0
,Ottawa,Ontario,-18.0,-5.0,,-40.0,-4.0,1.0
,Ottawa,Ontario,-3.0,9.0,,-39.0,4.0,-2.0
,Ottawa,Ontario,-57.0,-55.0,29.0,-77.0,-84.0,21.0
,Ottawa,Ontario,-17.0,6.0,13.0,-58.0,-58.0,16.0
,Ottawa,Ontario,-24.0,-7.0,2.0,-61.0,-57.0,18.0
,Ottawa,Ontario,-18.0,-1.0,21.0,-58.0,-56.0,17.0
,Ottawa,Ontario,-24.0,-9.0,78.0,-53.0,-52.0,15.0
,Ottawa,Ontario,-15.0,-3.0,175.0,-36.0,0.0,2.0
,Ottawa,Ontario,-17.0,-3.0,37.0,-46.0,-2.0,4.0
,Ottawa,Ontario,-19.0,-6.0,57.0,-59.0,-55.0,16.0
,Ottawa,Ontario,-21.0,-8.0,24.0,-59.0,-53.0,17.0
,Ottawa,Ontario,-22.0,-9.0,58.0,-59.0,-54.0,16.0
,Ottawa,Ontario,-19.0,-4.0,42.0,-58.0,-54.0,17.0
,Ottawa,Ontario,-26.0,-11.0,42.0,-56.0,-50.0,16.0
,Ottawa,Ontario,-18.0,-4.0,113.0,-42.0,-1.0,3.0
,Ottawa,Ontario,-13.0,1.0,131.0,-46.0,3.0,1.0
,Ottawa,Ontario,-22.0,-8.0,51.0,-61.0,-57.0,16.0
,Ottawa,Ontario,-25.0,-8.0,32.0,-60.0,-54.0,17.0
,Ottawa,Ontario,-26.0,-9.0,41.0,-62.0,-53.0,17.0
,Ottawa,Ontario,-25.0,-7.0,9.0,-62.0,-53.0,18.0
,Ottawa,Ontario,-29.0,-10.0,39.0,-58.0,-49.0,16.0
,Ottawa,Ontario,-21.0,-6.0,131.0,-46.0,0.0,3.0
,Ottawa,Ontario,-17.0,-1.0,117.0,-47.0,4.0,1.0
,Ottawa,Ontario,-25.0,-8.0,47.0,-63.0,-55.0,17.0
,Ottawa,Ontario,-28.0,-9.0,-6.0,-64.0,-54.0,18.0
,Ottawa,Ontario,-27.0,-6.0,-14.0,-65.0,-54.0,19.0
,Ottawa,Ontario,-23.0,-2.0,9.0,-61.0,-52.0,18.0
,Ottawa,Ontario,-33.0,-12.0,-8.0,-62.0,-49.0,19.0
,Ottawa,Ontario,-22.0,-3.0,78.0,-47.0,-3.0,5.0
,Ottawa,Ontario,-20.0,0.0,50.0,-53.0,-1.0,4.0
,Ottawa,Ontario,-27.0,-7.0,6.0,-65.0,-56.0,18.0
,Ottawa,Ontario,-28.0,-6.0,-4.0,-64.0,-53.0,18.0
,Ottawa,Ontario,-32.0,-9.0,-26.0,-68.0,-53.0,19.0
,Ottawa,Ontario,-24.0,3.0,5.0,-61.0,-52.0,18.0
,Ottawa,Ontario,-29.0,0.0,19.0,-57.0,-50.0,17.0
,Ottawa,Ontario,-29.0,1.0,89.0,-49.0,-4.0,6.0
,Ottawa,Ontario,-27.0,4.0,96.0,-51.0,0.0,3.0
,Ottawa,Ontario,-70.0,-62.0,42.0,-81.0,-84.0,24.0
,Ottawa,Ontario,-34.0,-7.0,-28.0,-65.0,-55.0,20.0
,Ottawa,Ontario,-31.0,-6.0,23.0,-63.0,-53.0,19.0
,Ottawa,Ontario,-33.0,-9.0,-25.0,-64.0,-54.0,21.0
,Ottawa,Ontario,-35.0,-8.0,-3.0,-61.0,-50.0,20.0
,Ottawa,Ontario,-25.0,-2.0,107.0,-46.0,-7.0,6.0
,Ottawa,Ontario,-25.0,-1.0,55.0,-52.0,-6.0,6.0
,Ottawa,Ontario,-34.0,-12.0,-19.0,-66.0,-57.0,20.0
,Ottawa,Ontario,-31.0,-7.0,0.0,-63.0,-54.0,19.0
,Ottawa,Ontario,-36.0,-13.0,-25.0,-67.0,-54.0,21.0
,Ottawa,Ontario,-30.0,-4.0,0.0,-61.0,-53.0,19.0
,Ottawa,Ontario,-30.0,-8.0,76.0,-56.0,-48.0,17.0
,Ottawa,Ontario,-27.0,-1.0,38.0,-49.0,-8.0,7.0
,Ottawa,Ontario,-23.0,1.0,60.0,-51.0,-4.0,5.0
,Ottawa,Ontario,-35.0,-13.0,-31.0,-66.0,-56.0,20.0
,Ottawa,Ontario,-31.0,-5.0,-15.0,-63.0,-53.0,19.0
,Ottawa,Ontario,-31.0,-6.0,-9.0,-63.0,-52.0,19.0
,Ottawa,Ontario,-28.0,-2.0,-21.0,-63.0,-52.0,19.0
,Ottawa,Ontario,-32.0,-3.0,-2.0,-59.0,-48.0,19.0
,Ottawa,Ontario,-26.0,3.0,51.0,-47.0,-6.0,6.0
,Ottawa,Ontario,-29.0,-3.0,-21.0,-56.0,-9.0,6.0
,Ottawa,Ontario,-35.0,-12.0,-29.0,-67.0,-55.0,19.0
,Ottawa,Ontario,-36.0,-15.0,-36.0,-66.0,-53.0,20.0
,Ottawa,Ontario,-35.0,-12.0,-14.0,-67.0,-52.0,20.0
,Ottawa,Ontario,-29.0,-7.0,10.0,-62.0,-51.0,19.0
,Ottawa,Ontario,-33.0,-11.0,21.0,-59.0,-48.0,19.0
,Ottawa,Ontario,-20.0,-3.0,114.0,-47.0,-2.0,5.0
,Ottawa,Ontario,-15.0,1.0,143.0,-49.0,2.0,3.0
,Ottawa,Ontario,-27.0,-8.0,34.0,-64.0,-53.0,18.0
,Ottawa,Ontario,-25.0,-6.0,20.0,-60.0,-50.0,18.0
,Ottawa,Ontario,-26.0,-9.0,-2.0,-65.0,-56.0,20.0
,Ottawa,Ontario,-26.0,-3.0,-14.0,-62.0,-50.0,19.0
,Ottawa,Ontario,-30.0,-10.0,-12.0,-60.0,-48.0,20.0
,Ottawa,Ontario,-20.0,-1.0,37.0,-48.0,-4.0,6.0
,Ottawa,Ontario,-26.0,-8.0,-30.0,-56.0,-6.0,7.0
,Ottawa,Ontario,-31.0,-12.0,-24.0,-66.0,-54.0,19.0
,Ottawa,Ontario,-31.0,-12.0,-31.0,-65.0,-50.0,20.0
,Ottawa,Ontario,-32.0,-12.0,-30.0,-67.0,-51.0,20.0
,Ottawa,Ontario,-27.0,-6.0,-18.0,-64.0,-50.0,19.0
,Ottawa,Ontario,-29.0,-8.0,9.0,-61.0,-47.0,19.0
,Ottawa,Ontario,-19.0,1.0,24.0,-53.0,-3.0,7.0
,Ottawa,Ontario,-22.0,-1.0,-9.0,-57.0,-4.0,7.0
,Ottawa,Ontario,-33.0,-18.0,-26.0,-66.0,-54.0,20.0
,Ottawa,Ontario,-29.0,-10.0,-33.0,-66.0,-50.0,19.0
,Ottawa,Ontario,-39.0,-22.0,-36.0,-68.0,-52.0,21.0
,Ottawa,Ontario,-25.0,-5.0,-37.0,-65.0,-50.0,20.0
,Ottawa,Ontario,-25.0,-5.0,-21.0,-59.0,-46.0,19.0
,Ottawa,Ontario,-16.0,4.0,7.0,-48.0,-1.0,7.0
,Ottawa,Ontario,-14.0,6.0,40.0,-51.0,1.0,5.0
,Ottawa,Ontario,-28.0,-11.0,-38.0,-67.0,-53.0,19.0
,Ottawa,Ontario,-28.0,-4.0,-39.0,-66.0,-50.0,19.0
,Ottawa,Ontario,-31.0,-8.0,-31.0,-68.0,-50.0,20.0
,Ottawa,Ontario,-26.0,-2.0,-29.0,-64.0,-49.0,19.0
,Ottawa,Ontario,-32.0,-9.0,-28.0,-63.0,-46.0,20.0
,Ottawa,Ontario,-20.0,2.0,-6.0,-53.0,-3.0,7.0
,Ottawa,Ontario,-19.0,3.0,10.0,-57.0,0.0,6.0
,Ottawa,Ontario,-28.0,-7.0,-21.0,-67.0,-53.0,19.0
,Ottawa,Ontario,-29.0,-8.0,-31.0,-67.0,-49.0,19.0
,Ottawa,Ontario,-34.0,-11.0,-28.0,-68.0,-50.0,20.0
,Ottawa,Ontario,-25.0,0.0,-29.0,-64.0,-49.0,19.0
,Ottawa,Ontario,-27.0,-1.0,-14.0,-62.0,-45.0,19.0
,Ottawa,Ontario,-27.0,-3.0,-25.0,-55.0,-6.0,9.0
,Ottawa,Ontario,-20.0,2.0,-9.0,-58.0,-1.0,6.0
,Ottawa,Ontario,-27.0,-4.0,-26.0,-68.0,-53.0,19.0
,Ottawa,Ontario,-28.0,-6.0,-43.0,-67.0,-50.0,19.0
,Ottawa,Ontario,-30.0,-8.0,-45.0,-69.0,-50.0,20.0
,Ottawa,Ontario,-22.0,4.0,-36.0,-65.0,-49.0,19.0
,Ottawa,Ontario,-28.0,-3.0,-24.0,-62.0,-45.0,19.0
,Ottawa,Ontario,-20.0,5.0,-2.0,-50.0,-2.0,7.0
,Ottawa,Ontario,-21.0,2.0,5.0,-55.0,2.0,6.0
,Ottawa,Ontario,-8.0,25.0,-14.0,-65.0,-59.0,18.0
,Ottawa,Ontario,-9.0,30.0,-33.0,-65.0,-57.0,18.0
,Ottawa,Ontario,-9.0,40.0,-31.0,-66.0,-57.0,18.0
,Ottawa,Ontario,-26.0,28.0,-47.0,-70.0,-67.0,20.0
,Ottawa,Ontario,-88.0,-83.0,-49.0,-87.0,-85.0,28.0
,Ottawa,Ontario,-68.0,-50.0,-23.0,-74.0,-37.0,13.0
,Ottawa,Ontario,-53.0,-26.0,15.0,-69.0,-19.0,9.0
,Ottawa,Ontario,-53.0,-23.0,-28.0,-81.0,-78.0,27.0
,Ottawa,Ontario,-47.0,-10.0,-30.0,-77.0,-69.0,25.0
,Ottawa,Ontario,-46.0,-3.0,-26.0,-77.0,-69.0,26.0
,Ottawa,Ontario,-38.0,14.0,-16.0,-76.0,-71.0,25.0
,Ottawa,Ontario,-83.0,-77.0,-7.0,-86.0,-86.0,33.0
,Ottawa,Ontario,-54.0,-23.0,49.0,-65.0,-26.0,13.0
,Ottawa,Ontario,-48.0,-15.0,29.0,-65.0,-16.0,10.0
,Ottawa,Ontario,-47.0,-15.0,-24.0,-75.0,-62.0,23.0
,Ottawa,Ontario,-49.0,-17.0,-33.0,-73.0,-61.0,24.0
,Ottawa,Ontario,-50.0,-18.0,-33.0,-75.0,-60.0,24.0
,Ottawa,Ontario,-49.0,-15.0,-36.0,-74.0,-60.0,25.0
,Ottawa,Ontario,-52.0,-20.0,-27.0,-73.0,-57.0,25.0
,Ottawa,Ontario,-50.0,-13.0,25.0,-67.0,-20.0,12.0
,Ottawa,Ontario,-48.0,-14.0,25.0,-68.0,-17.0,9.0
,Ottawa,Ontario,-51.0,-20.0,-26.0,-76.0,-62.0,24.0
,Ottawa,Ontario,-50.0,-16.0,-33.0,-75.0,-60.0,24.0
,Ottawa,Ontario,-50.0,-16.0,-43.0,-75.0,-61.0,24.0
,Ottawa,Ontario,-57.0,-26.0,-46.0,-77.0,-64.0,26.0
,Ottawa,Ontario,-56.0,-20.0,-36.0,-76.0,-61.0,27.0
,Ottawa,Ontario,-66.0,-41.0,-6.0,-72.0,-33.0,15.0
,Ottawa,Ontario,-53.0,-21.0,12.0,-71.0,-25.0,11.0
,Ottawa,Ontario,-55.0,-27.0,-35.0,-78.0,-65.0,25.0
,Ottawa,Ontario,-56.0,-27.0,-44.0,-77.0,-64.0,25.0
,Ottawa,Ontario,-56.0,-26.0,-44.0,-78.0,-63.0,26.0
,Ottawa,Ontario,-57.0,-30.0,-44.0,-76.0,-64.0,26.0
,Ottawa,Ontario,-54.0,-21.0,-28.0,-75.0,-60.0,27.0
,Ottawa,Ontario,-54.0,-19.0,-18.0,-72.0,-27.0,13.0
,Ottawa,Ontario,-53.0,-21.0,-14.0,-74.0,-25.0,11.0
,Ottawa,Ontario,-55.0,-28.0,-37.0,-77.0,-65.0,25.0
